,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
20,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2022', 'frc1629', 'frc2984'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 68, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1622', 'frc930', 'frc503'], dtype=object)}}",qm,2011arc,2011arc_qm107,107,,,,1,,[],blue
21,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 78, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1270', 'frc701', 'frc203'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 47, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc677', 'frc1535', 'frc1323'], dtype=object)}}",qm,2011arc,2011arc_qm108,108,,,,1,,[],blue
22,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 92, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1182', 'frc3098', 'frc155'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 2, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc932', 'frc440', 'frc2972'], dtype=object)}}",qm,2011arc,2011arc_qm109,109,,,,1,,[],blue
23,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 64, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc876', 'frc1912', 'frc3322'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 135, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc360', 'frc177', 'frc330'], dtype=object)}}",qm,2011arc,2011arc_qm11,11,,,,1,,"[{'key': '2rb8InMLBpA', 'type': 'youtube'}
 {'key': 'n7fI5_w9Aj0', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm11.mp4', 'type': 'tba'}]",red
24,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 87, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1918', 'frc846', 'frc3694'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 118, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc177', 'frc781', 'frc1690'], dtype=object)}}",qm,2011arc,2011arc_qm110,110,,,,1,,[],red
25,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3596', 'frc1138', 'frc1899'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 60, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3322', 'frc1718', 'frc766'], dtype=object)}}",qm,2011arc,2011arc_qm111,111,,,,1,,[],red
26,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 99, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc303', 'frc2500', 'frc33'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3337', 'frc2543', 'frc876'], dtype=object)}}",qm,2011arc,2011arc_qm112,112,,,,1,,[],blue
27,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 28, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3616', 'frc3467', 'frc3642'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 64, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1811', 'frc1510', 'frc360'], dtype=object)}}",qm,2011arc,2011arc_qm113,113,,,,1,,[],red
28,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 18, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc108', 'frc3481', 'frc2949'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 63, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3539', 'frc3351', 'frc1640'], dtype=object)}}",qm,2011arc,2011arc_qm114,114,,,,1,,[],red
29,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 95, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc330', 'frc3506', 'frc537'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc118', 'frc2175', 'frc191'], dtype=object)}}",qm,2011arc,2011arc_qm115,115,,,,1,,[],blue
